# DADOS DE LOJAS POR ESTADO (ATUALIZADO ATÉ AGOSTO/2025)
# N/D = Não Disponível publicamente. A empresa não detalha a contagem por estado.

Estado,Quero-Quero,Petz,Riachuelo,Grupo_Azzas_Marcas_Principais
Acre,0,1,N/D,N/D
Alagoas,0,2,N/D,N/D
Amapá,0,1,N/D,N/D
Amazonas,0,4,N/D,N/D
Bahia,0,10,N/D,N/D
Ceará,0,7,N/D,N/D
Distrito Federal,0,10,N/D,N/D
Espírito Santo,0,6,N/D,N/D
Goiás,0,9,N/D,N/D
Maranhão,0,3,N/D,N/D
Mato Grosso,0,5,N/D,N/D
Mato Grosso do Sul,10,6,N/D,N/D
Minas Gerais,0,24,N/D,N/D
Pará,0,4,N/D,N/D
Paraíba,0,3,N/D,N/D
Paraná,135,12,N/D,N/D
Pernambuco,0,7,N/D,N/D
Piauí,0,2,N/D,N/D
Rio de Janeiro,0,17,N/D,N/D
Rio Grande do Norte,0,3,N/D,N/D
Rio Grande do Sul,298,15,N/D,N/D
Rondônia,0,2,N/D,N/D
Roraima,0,1,N/D,N/D
Santa Catarina,88,8,N/D,N/D
São Paulo,15,128,N/D,N/D
Sergipe,0,2,N/D,N/D
Tocantins,0,1,N/D,N/D
,,,,
# TOTAIS E OBSERVAÇÕES NACIONAIS,,,,
Empresa,"Total Brasil (Aproximado)","Observação"
Quero-Quero,546,"Contagem exata. Foco total na Região Sul, com expansão em MS e SP."
Petz,274,"Contagem exata. Forte concentração em SP, com presença em 22 estados + DF."
Riachuelo,~470,"Contagem inclui todas as marcas do grupo (Riachuelo, Carter's, etc.). A empresa confirma presença em todos os estados, mas não detalha a quantidade em cada um."
Grupo Azzas,>2100,"Estimativa para as principais marcas (Arezzo, Schutz, Hering, Farm, etc.). O grupo confirma presença nacional, mas não consolida a contagem por estado publicamente."
