Mes e Ano, Preço das Ações
Julho de 2020,	R$ 9.56
Agosto de 2020,	R$ 9.33
Agosto de 2020,	R$ 9.21
Setembro de 2020,	R$ 9.60
Outubro de 2020,	R$ 10.21
Novembro de 2020,	R$ 11.80
Dezembro de 2020,	R$ 11.88
Janeiro de 2021,	R$ 12.39
Fevereiro de 2021,	R$ 11.85
Março de 2021,	R$ 11.46
Abril de 2021,	R$ 11.48
Maio de 2021,	R$ 12.83
Junho de 2021,	R$ 14.84
Julho de 2021,	R$ 15.22
Agosto de 2021,	R$ 15.31
Setembro de 2021,	R$ 14.08
Outubro de 2021,	R$ 13.83
Novembro de 2021,	R$ 11.84
Dezembro de 2021,	R$ 10.95
Janeiro de 2022,	R$ 11.10
Fevereiro de 2022,	R$ 11.21
Março de 2022,	R$ 11.12
Abril de 2022,	R$ 10.96
Maio de 2022,	R$ 9.56
Junho de 2022,	R$ 10.36
Julho de 2022,	R$ 12.18
Agosto de 2022,	R$ 13.85
Setembro de 2022,	R$ 13.00
Outubro de 2022,	R$ 13.67
Novembro de 2022,	R$ 12.17
Dezembro de 2022,	R$ 10.75
Janeiro de 2023,	R$ 9.87
Fevereiro de 2023,	R$ 8.24
Março de 2023,	R$ 7.12
Abril de 2023,	R$ 7.92
Maio de 2023,	R$ 8.83
Junho de 2023,	R$ 9.14
Julho de 2023,	R$ 8.76
Agosto de 2023,	R$ 7.74
Setembro de 2023,	R$ 6.83
Outubro de 2023,	R$ 6.17
Novembro de 2023,	R$ 6.70
Dezembro de 2023,	R$ 7.01
Janeiro de 2024,	R$ 6.67
Fevereiro de 2024,	R$ 6.85
Março de 2024,	R$ 6.75
Abril de 2024,	R$ 6.31
Maio de 2024,	R$ 6.19
Junho de 2024,	R$ 5.86
Julho de 2024,	R$ 11.35
Agosto de 2024,	R$ 13.31
